Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
ламинатор,59,55,35,15,50100,0.4745762711864407,0.42857142857142855,0.2542372881355932,3
шпонки,59,55,25,6,8244,0.288135593220339,0.24,0.1016949152542373,3
термопоты,59,57,25,12,72973,0.3559322033898305,0.48,0.2033898305084746,3
разделочные доски,59,57,34,5,5605,0.3559322033898305,0.14705882352941177,0.0847457627118644,3
утюг,58,55,24,10,25066,0.3793103448275862,0.4166666666666667,0.1724137931034483,3
прокладка,58,57,15,5,2359,0.15517241379310345,0.3333333333333333,0.08620689655172414,3
хомут силовой,58,52,25,6,15517,0.3103448275862069,0.24,0.10344827586206896,3
термопаста,58,58,32,10,17820,0.46551724137931033,0.3125,0.1724137931034483,3
плоская кисть, 100 мм натуральная щетина, деревянная ручка сибртех 82266,58,55,47,22,16350,0.7931034482758621,0.46808510638297873,0.3793103448275862,3
кровельный саморез,58,54,42,13,24066,0.5517241379310345,0.30952380952380953,0.22413793103448276,3
набор наконечников квт ншви №5 79493,58,58,37,20,22237,0.5689655172413793,0.4864864864864865,0.3103448275862069,3
рукава для сварки, сварочные модули и аксессуары,58,58,8,3,6247,0.08620689655172414,0.375,0.05172413793103448,3
распаечная коробка,58,55,35,22,15558,0.5344827586206896,0.5714285714285714,0.3448275862068966,3
рулетка 3 м,58,58,41,24,33231,0.6724137931034483,0.5609756097560976,0.39655172413793105,3
дозатор для мыла,58,56,32,15,234051,0.4482758620689655,0.4375,0.2413793103448276,3
регуляторы давления для пневмоинструмента и пневмосистем,58,54,28,9,29424,0.41379310344827586,0.2857142857142857,0.13793103448275862,3
антигравий,58,56,33,17,37225,0.4482758620689655,0.45454545454545453,0.25862068965517243,3
жидкий ключ вмпавто валера, 650 мл флаконаэрозоль 8609,58,54,46,31,180870,0.7931034482758621,0.6739130434782609,0.5344827586206896,3
din 912,58,53,24,15,22266,0.3620689655172414,0.5833333333333334,0.2413793103448276,3
бумага туалетная,58,51,38,15,41735,0.5344827586206896,0.39473684210526316,0.25862068965517243,3
силиконовая смазка 400 мл bibicare 4005,58,57,60,31,120048,0.7586206896551724,0.5166666666666667,0.5344827586206896,3
инверторный сварочный аппарат ресанта саи190к 65/36,58,51,28,16,87374,0.4482758620689655,0.5714285714285714,0.27586206896551724,3
губка,58,54,25,14,7612,0.3620689655172414,0.52,0.22413793103448276,3
скотч двусторонний,58,57,63,24,24379,0.6896551724137931,0.3492063492063492,0.3793103448275862,3
пескобетон м300,58,55,23,5,15596,0.3793103448275862,0.21739130434782608,0.08620689655172414,3
электропила,58,56,44,15,136720,0.5344827586206896,0.29545454545454547,0.22413793103448276,3
цинкарь,58,54,14,5,10051,0.20689655172413793,0.35714285714285715,0.08620689655172414,3
ножовочное полотно по металлу туламаш 300 тм 73909,58,54,37,23,13571,0.5689655172413793,0.5945945945945946,0.3793103448275862,3
мастика битумная,58,51,20,11,113658,0.3103448275862069,0.55,0.1896551724137931,3
противоскользящие ленты,58,54,39,21,105932,0.603448275862069,0.5128205128205128,0.3448275862068966,3
самозажимные клеммники и клеммные колодки (безвинтовые зажимы),58,58,67,19,27192,0.6206896551724138,0.22388059701492538,0.25862068965517243,3
набор съемников автоdело 180 мм стопорных колец 4 пр. 30424 13330,58,56,40,28,41803,0.6896551724137931,0.7,0.4827586206896552,3
диск отрезной a 40 s bf 80 14а бу мет.+нерж. 125х22х1.6 мм луга 4603347328125,58,58,41,24,70922,0.6551724137931034,0.5853658536585366,0.41379310344827586,3
набор сверл по металлу 19 предметов, 110 мм, hssg inforce 1101704,58,53,41,27,136539,0.6724137931034483,0.6341463414634146,0.4482758620689655,3
ударный гайковерт ryobi one+ r18iw30 5133002436,58,54,28,19,229830,0.41379310344827586,0.6071428571428571,0.29310344827586204,3
наждачка,58,58,77,18,127588,0.6551724137931034,0.2077922077922078,0.27586206896551724,3
профессиональный пистолет для герметика inforce 011301,58,53,37,28,59496,0.603448275862069,0.7027027027027027,0.4482758620689655,3
компресор,58,53,24,10,193353,0.3275862068965517,0.375,0.15517241379310345,3
вилки и разъемы для сварочного кабеля,58,57,54,14,12666,0.5344827586206896,0.25925925925925924,0.2413793103448276,3
пила дисковая,58,56,42,6,53750,0.3620689655172414,0.14285714285714285,0.10344827586206896,3
einhell,58,47,56,13,164779,0.3620689655172414,0.21428571428571427,0.20689655172413793,3
теплые полы,57,51,20,7,72113,0.22807017543859648,0.3,0.10526315789473684,3
диск отрезной по металлу (125х1х22 мм) gigant cdi c41/1251,57,55,30,16,49450,0.49122807017543857,0.4666666666666667,0.24561403508771928,3
аппарат высокого давления,57,50,16,9,182060,0.19298245614035087,0.5,0.14035087719298245,3
мерный стакан,57,55,40,15,8845,0.5087719298245614,0.375,0.2631578947368421,3
ударные дрели,57,54,46,11,127278,0.47368421052631576,0.2391304347826087,0.19298245614035087,3
фреза концевая,57,53,12,6,8649,0.17543859649122806,0.4166666666666667,0.08771929824561403,3
ветошь ооо комус, трикотаж, х/б, цветной, 10 кг 549602,57,55,40,28,163269,0.631578947368421,0.625,0.43859649122807015,3
выключатели нагрузки и рубильники,57,55,16,7,56374,0.24561403508771928,0.375,0.10526315789473684,3
кран 3/4,57,56,39,25,88082,0.5614035087719298,0.5384615384615384,0.3684210526315789,3
инструментальная тележка,57,55,38,8,226861,0.40350877192982454,0.18421052631578946,0.12280701754385964,3
сварка,57,55,51,8,156397,0.42105263157894735,0.1568627450980392,0.14035087719298245,3
вилы садовые,57,52,43,14,17628,0.5263157894736842,0.3023255813953488,0.22807017543859648,3
преобразователь ржавчины с цинком lavr 10 минут, 500 мл ln1436,57,56,34,23,19043,0.5263157894736842,0.6176470588235294,0.3684210526315789,3
шторы,57,56,16,4,15041,0.14035087719298245,0.1875,0.05263157894736842,3
abb,57,50,61,11,283546,0.2982456140350877,0.14754098360655737,0.15789473684210525,3
войлочные круги,57,54,28,8,13187,0.3333333333333333,0.2857142857142857,0.14035087719298245,3
боты диэлектрические,57,53,30,3,6988,0.38596491228070173,0.1,0.05263157894736842,3
молотки столярные,57,56,29,7,7002,0.38596491228070173,0.20689655172413793,0.10526315789473684,3
бита крестовая,57,52,21,9,8153,0.2982456140350877,0.42857142857142855,0.15789473684210525,3
огнезащитный терморасширяющийся герметик огнеза гт, 310 мл 105038,57,57,47,30,421871,0.631578947368421,0.5531914893617021,0.45614035087719296,3
совок для мусора,57,53,35,18,12597,0.6140350877192983,0.5142857142857142,0.3157894736842105,3
мусорные мешки,57,51,29,10,15111,0.47368421052631576,0.3448275862068966,0.17543859649122806,3
аэраторы для смесителей,57,53,60,20,10348,0.6666666666666666,0.3,0.3157894736842105,3
саморезы по металлу,57,55,45,13,26046,0.47368421052631576,0.26666666666666666,0.21052631578947367,3
плащ,57,52,13,7,51090,0.21052631578947367,0.5384615384615384,0.12280701754385964,3
отвертка ударная,57,56,29,12,24984,0.38596491228070173,0.41379310344827586,0.21052631578947367,3
краска аэрозольная,57,53,79,23,113715,0.6842105263157895,0.26582278481012656,0.3684210526315789,3
крановые весы,57,53,26,16,429776,0.3508771929824561,0.5384615384615384,0.24561403508771928,3
фитинг цанговый,57,52,31,6,30504,0.2631578947368421,0.1935483870967742,0.10526315789473684,3
рукав пожарный напорный нпо пульс 5701010200011,57,53,5,4,52512,0.08771929824561403,0.8,0.07017543859649122,3
файлы,57,54,31,10,4901,0.47368421052631576,0.25806451612903225,0.14035087719298245,3
уайтспирит selkor 5 л 45824,57,57,25,14,23894,0.40350877192982454,0.52,0.22807017543859648,3
валики для краски 100 мм,57,56,79,22,13945,0.7894736842105263,0.21518987341772153,0.2982456140350877,3
саморез по металлу,57,57,50,18,32226,0.5263157894736842,0.32,0.2807017543859649,3
эпоксидная смола,57,56,26,15,72999,0.3508771929824561,0.5384615384615384,0.24561403508771928,3
молоток с фибергласовой рукояткой 800g gigant hht8001,57,51,42,28,54486,0.7192982456140351,0.6428571428571429,0.47368421052631576,3
защитная маска,57,52,35,13,16858,0.5087719298245614,0.3142857142857143,0.19298245614035087,3
15854284,57,52,48,24,44638,0.6140350877192983,0.5,0.42105263157894735,3
газон,57,55,26,9,84767,0.3508771929824561,0.34615384615384615,0.15789473684210525,3
системы выравнивания плитки,57,51,57,26,203500,0.5789473684210527,0.43859649122807015,0.43859649122807015,3
суперклей,57,51,35,15,29092,0.5087719298245614,0.37142857142857144,0.22807017543859648,3
пружины сжатия,57,52,20,10,26078,0.2631578947368421,0.4,0.14035087719298245,3
кисть 100мм,57,55,45,24,28714,0.7017543859649122,0.4222222222222222,0.3333333333333333,3
державки для резцов,57,55,34,3,10534,0.24561403508771928,0.08823529411764706,0.05263157894736842,3
husqvarna,57,57,1,1,21190,0.017543859649122806,1,0.017543859649122806,3
макловица,56,55,38,17,36596,0.5178571428571429,0.42105263157894735,0.2857142857142857,3
пленка полиэтиленовая,56,50,22,10,95498,0.35714285714285715,0.45454545454545453,0.17857142857142858,3
шкурка,56,55,40,10,11024,0.35714285714285715,0.25,0.17857142857142858,3
кирка,56,56,42,19,67950,0.5178571428571429,0.3333333333333333,0.25,3
рукав напорный,56,53,37,18,166827,0.48214285714285715,0.43243243243243246,0.2857142857142857,3
трубы стальные,56,55,14,4,45386,0.16071428571428573,0.2857142857142857,0.07142857142857142,3
ролик полиакрил мини профи 100 мм fit 02681,56,55,34,22,29766,0.5714285714285714,0.6176470588235294,0.375,3
пароочистители,56,52,23,7,150250,0.30357142857142855,0.30434782608695654,0.125,3
угловая шлифмашина aeg ws10125 4935451301,56,51,33,25,338597,0.5,0.6666666666666666,0.39285714285714285,3
удлиннитель,56,56,29,12,56845,0.375,0.3103448275862069,0.16071428571428573,3
электронные часы,56,54,12,6,14699,0.19642857142857142,0.5,0.10714285714285714,3
ленточная хомутстяжка gigant 3,6х300 белый, 100 шт g/1/18,56,55,47,35,27578,0.6964285714285714,0.6170212765957447,0.5178571428571429,3
ремонтные наборы, сальники, манжеты и уплотнительные кольца для смесителей,56,56,13,3,3452,0.16071428571428573,0.23076923076923078,0.05357142857142857,3
респираторы,56,53,43,19,56804,0.5714285714285714,0.4418604651162791,0.3392857142857143,3
терки штукатурные,56,56,67,23,84728,0.6964285714285714,0.29850746268656714,0.35714285714285715,3
газоанализаторы,56,50,18,4,361516,0.25,0.2222222222222222,0.07142857142857142,3
обезжириватель ясхим 1л новгород,56,54,44,28,39035,0.7142857142857143,0.5909090909090909,0.4642857142857143,3
фитинги,56,54,60,9,13233,0.26785714285714285,0.13333333333333333,0.14285714285714285,3
летняя спецодежда,56,54,40,10,73647,0.2857142857142857,0.225,0.16071428571428573,3
сушилки для белья,56,50,46,21,51659,0.5892857142857143,0.43478260869565216,0.35714285714285715,3
сменные насадки для швабр,56,55,52,18,16127,0.5357142857142857,0.2692307692307692,0.25,3
краска красная,56,55,10,5,6720,0.125,0.5,0.08928571428571429,3
пломбы,56,54,21,8,7556,0.2857142857142857,0.38095238095238093,0.14285714285714285,3
углекислотные редукторы,56,56,41,19,69648,0.6785714285714286,0.4634146341463415,0.3392857142857143,3
клуппы ручные трубные,56,55,41,11,25230,0.375,0.2682926829268293,0.19642857142857142,3
клеммы для автомобильных аккумуляторов (акб),56,52,43,18,26499,0.5535714285714286,0.37209302325581395,0.2857142857142857,3
ударные отвертки,56,53,62,17,49146,0.6785714285714286,0.27419354838709675,0.30357142857142855,3
