Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
набор рожковых ключей rexant 12-5843;19;19;2;2;1073;0.10526315789473684;1;0.10526315789473684;36;;;;;;;;;;;;;;;;;;;;;;;;;;
полукруглый напильник 200 мм vira 820002;19;18;9;4;2792;0.2631578947368421;0.1111111111111111;0.05263157894736842;40;;;;;;;;;;;;;;;;;;;;;;;;;;
насос лепсе водолей 3к 25 м 004.849-02;19;16;0;0;-;0;-;0;38;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторная батарея зубр профессионал 20в, li-ion, 4ач, тип t7 st7-20-4;19;19;7;4;46160;0.3684210526315789;0.5714285714285714;0.21052631578947367;74;;;;;;;;;;;;;;;;;;;;;;;;;;
виброплита huter vp-35w, бензиновая, 74/6/2;19;17;4;3;158297;0.21052631578947367;0.75;0.15789473684210525;43;;;;;;;;;;;;;;;;;;;;;;;;;;
15565447;19;17;2;2;10315;0.10526315789473684;1;0.10526315789473684;8;;;;;;;;;;;;;;;;;;;;;;;;;;
ga5021;19;18;1;0;-;0.05263157894736842;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
уайт-спирит 1л;19;16;5;2;85215;0.2631578947368421;0.4;0.10526315789473684;14;;;;;;;;;;;;;;;;;;;;;;;;;;
штыковая лопата американка, рельсовая сталь, без черенка сибртех 614702;19;17;8;4;11019;0.3157894736842105;0.5;0.21052631578947367;71;;;;;;;;;;;;;;;;;;;;;;;;;;
ударный бесщеточный аккумуляторный винтоверт worx impact 20 в, без акб и зу wx261.9;19;18;0;0;-;0;-;0;83;;;;;;;;;;;;;;;;;;;;;;;;;;
автомобильный рефрактометр icartool 4в1 для антифриза, охлаждающей жидкости, электролита и adblue ic-803;19;19;5;5;15672;0.2631578947368421;1;0.2631578947368421;104;;;;;;;;;;;;;;;;;;;;;;;;;;
пожарный;19;18;1;0;-;0.05263157894736842;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
штанга телескопическая для опрыскивателя gardena 11154-20.000.00;19;19;0;0;-;0;-;0;64;;;;;;;;;;;;;;;;;;;;;;;;;;
зажигалка zippo 205;19;19;0;0;-;0;-;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
19603914;19;19;12;8;12596;0.5263157894736842;0.6666666666666666;0.42105263157894735;8;;;;;;;;;;;;;;;;;;;;;;;;;;
санитарный герметик greenest белый 260129010;19;19;3;3;999;0.15789473684210525;1;0.15789473684210525;44;;;;;;;;;;;;;;;;;;;;;;;;;;
шаровой компрессионный кран политэк нр разъемный d 20x1/2 тпк-аква, 553222012;19;19;4;3;660;0.21052631578947367;0.75;0.15789473684210525;77;;;;;;;;;;;;;;;;;;;;;;;;;;
медная смазка вмпавто 400г банка 1913;19;16;6;6;11806;0.2631578947368421;0.8333333333333334;0.2631578947368421;37;;;;;;;;;;;;;;;;;;;;;;;;;;
телескопическая стремянка shtok 2.6м 20018;19;18;3;1;12689;0.15789473684210525;0.3333333333333333;0.05263157894736842;42;;;;;;;;;;;;;;;;;;;;;;;;;;
рулетка gross doppelhaken 10 м, 25 мм, двухсторонний зацеп, нейлон, двусторонняя шкала 31126;19;19;4;0;-;0.21052631578947367;0;0;92;;;;;;;;;;;;;;;;;;;;;;;;;;
мини-валик сибртех водные краски 110 мм 80580;19;17;6;3;2982;0.3157894736842105;0.5;0.15789473684210525;45;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло ступенчатое по металлу (4-32 мм;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;
плинты;19;19;6;2;6006;0.2631578947368421;0.3333333333333333;0.10526315789473684;6;;;;;;;;;;;;;;;;;;;;;;;;;;
указатель напряжения mastech ms8922a 13-1204;19;18;7;6;25442;0.3684210526315789;0.7142857142857143;0.2631578947368421;44;;;;;;;;;;;;;;;;;;;;;;;;;;
комплект gogo пвх, совок с метлой айвори, ручка металлическая 85 см 60056 ivory;19;19;3;2;1762;0.15789473684210525;0.6666666666666666;0.10526315789473684;79;;;;;;;;;;;;;;;;;;;;;;;;;;
cf259x;19;15;3;2;38635;0.15789473684210525;0.6666666666666666;0.10526315789473684;6;;;;;;;;;;;;;;;;;;;;;;;;;;
фитинг цанговый прямой 6-6 мм pegas pneumatic 5301;19;18;13;10;8295;0.631578947368421;0.6923076923076923;0.47368421052631576;50;;;;;;;;;;;;;;;;;;;;;;;;;;
кран-букса vidima для смесителя керамическая резьба g 1/2 дюйма 20 шлицов b964636nu;19;18;2;2;2517;0.10526315789473684;1;0.10526315789473684;83;;;;;;;;;;;;;;;;;;;;;;;;;;
стекло защитное прозрачное (115х105 мм;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;
мистер пропер;19;19;8;2;5510;0.42105263157894735;0.25;0.10526315789473684;13;;;;;;;;;;;;;;;;;;;;;;;;;;
отвертка с насадками;19;18;3;0;-;0.15789473684210525;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
выпуск;19;19;4;1;126;0.15789473684210525;0.25;0.05263157894736842;6;;;;;;;;;;;;;;;;;;;;;;;;;;
полоса медная;19;17;1;0;-;0.05263157894736842;0;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;
заусовщик для плитки;19;18;0;0;-;0;-;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
трубки теплоизоляционные для кондиционеров;19;19;10;1;301;0.21052631578947367;0.1;0.05263157894736842;42;;;;;;;;;;;;;;;;;;;;;;;;;;
бетоносмеситель кратон beetone 160 4 02 07 022;19;17;1;0;-;0.05263157894736842;0;0;46;;;;;;;;;;;;;;;;;;;;;;;;;;
комбинированные устройства для стреппинг лент;19;18;4;3;32560;0.21052631578947367;0.75;0.15789473684210525;45;;;;;;;;;;;;;;;;;;;;;;;;;;
wtgm;19;18;2;1;440;0.10526315789473684;0.5;0.05263157894736842;4;;;;;;;;;;;;;;;;;;;;;;;;;;
резец проходной отогнутый (25х16х140 мм;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;
4.10/3.50-4;19;18;4;2;4794;0.15789473684210525;0.5;0.10526315789473684;11;;;;;;;;;;;;;;;;;;;;;;;;;;
воск для мебели;19;14;1;0;-;0.05263157894736842;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
моторное масло mobil 1 fs 0w-40, 4 л 153677;19;19;1;2;13776;0.05263157894736842;2;0.10526315789473684;43;;;;;;;;;;;;;;;;;;;;;;;;;;
cosmo cosmofen цианоакрилатный клей 20гр ca-500.200 (20);19;18;0;0;-;0;-;0;56;;;;;;;;;;;;;;;;;;;;;;;;;;
для проводов;19;19;0;0;-;0;-;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
набор бит с магнитным адаптером в бит-боксе kraftool expert 18 предметов 26131-h18;19;19;2;0;-;0.10526315789473684;0;0;82;;;;;;;;;;;;;;;;;;;;;;;;;;
клей мебельный;19;18;4;1;354;0.15789473684210525;0.25;0.05263157894736842;14;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумулятор для bosch;19;18;2;2;3674;0.10526315789473684;1;0.10526315789473684;21;;;;;;;;;;;;;;;;;;;;;;;;;;
раздвижные веерные грабли ремоколор 15-ти зубые, оцинкованные 66-1-125;19;19;3;1;704;0.15789473684210525;0.3333333333333333;0.05263157894736842;70;;;;;;;;;;;;;;;;;;;;;;;;;;
шинный манометр;19;18;2;0;-;0.05263157894736842;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
15956680;19;19;4;3;1156;0.21052631578947367;0.75;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
набор пилок (20 шт.) для лобзика rak20jb ryobi 5132002261;19;19;8;4;6621;0.42105263157894735;0.5;0.21052631578947367;57;;;;;;;;;;;;;;;;;;;;;;;;;;
защелка для крюков чалочных 320а 5.0 т tor 1004964;19;18;0;0;-;0;-;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;
ареометр для электролита;19;12;5;2;1031;0.21052631578947367;0.4;0.10526315789473684;24;;;;;;;;;;;;;;;;;;;;;;;;;;
луженый наконечник тмл 25-8-7 квт 40879;19;18;0;0;-;0;-;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;
набор надфилей gigant 6шт gbs-6;19;17;3;0;-;0.15789473684210525;0;0;31;;;;;;;;;;;;;;;;;;;;;;;;;;
ручной фонарик квт fl-8012 78259;19;19;4;1;9880;0.21052631578947367;0.25;0.05263157894736842;32;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель конкорд;19;19;2;1;6500;0.10526315789473684;0.5;0.05263157894736842;14;;;;;;;;;;;;;;;;;;;;;;;;;;
заглушка-самоклейка tech-krep 14 мм белая 50 шт 148947;19;19;3;1;732;0.15789473684210525;0.3333333333333333;0.05263157894736842;54;;;;;;;;;;;;;;;;;;;;;;;;;;
вентилятор радиальный;19;18;3;0;-;0.15789473684210525;0;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
датчик уровня жидкости;19;19;4;1;1239;0.15789473684210525;0.25;0.05263157894736842;22;;;;;;;;;;;;;;;;;;;;;;;;;;
гвозди для монтажного пистолета fedast 3.0х19 мм с кованым наконечником bullet point, в комплекте с баллоном fd3019mgbpfc;19;19;5;3;173684;0.15789473684210525;0.4;0.10526315789473684;121;;;;;;;;;;;;;;;;;;;;;;;;;;
колонка газовая;19;19;4;0;-;0.10526315789473684;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
15623006;19;19;6;3;38967;0.2631578947368421;0.5;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
горизонтальные жалюзи;19;17;3;1;1788;0.10526315789473684;0.3333333333333333;0.05263157894736842;21;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновый генератор hnd ge 7000 xnst с двигателем honda ge7000xnst;19;19;1;0;-;0.05263157894736842;0;0;67;;;;;;;;;;;;;;;;;;;;;;;;;;
антиграффити evolite 330.0,55;19;18;2;0;-;0.05263157894736842;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
фильтр керхер;19;19;3;0;-;0.15789473684210525;0;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;
садовый измельчитель patriot pt sb100e 732107050;19;19;5;0;-;0.15789473684210525;0;0;48;;;;;;;;;;;;;;;;;;;;;;;;;;
рулонная черепица;19;16;0;0;-;0;-;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
"картридж свс 0.6 (20""вв) гейзер 27019";19;19;5;2;8127;0.2631578947368421;0.4;0.10526315789473684;37;;;;;;;;;;;;;;;;;;;;;;;;;;
колесный бензиновый триммер champion lmh5640;19;19;3;1;34030;0.15789473684210525;0.3333333333333333;0.05263157894736842;44;;;;;;;;;;;;;;;;;;;;;;;;;;
труба для внутренней канализации gigant д50, l=0.5 м, толщина стенки 1.8 мм gsg-21;19;19;7;4;1572;0.3684210526315789;0.5714285714285714;0.21052631578947367;82;;;;;;;;;;;;;;;;;;;;;;;;;;
рабочий аккумуляторный светодиодный фонарь-прожектор фотон wpb-7800 20 вт 24093;19;17;6;5;19368;0.2631578947368421;0.6666666666666666;0.21052631578947367;79;;;;;;;;;;;;;;;;;;;;;;;;;;
зажим троса госкреп din 741 12 мм, 2 шт. 7-0010330;19;19;5;3;1367;0.2631578947368421;0.6;0.15789473684210525;50;;;;;;;;;;;;;;;;;;;;;;;;;;
43;19;19;2;3;2095;0.10526315789473684;01.май;0.15789473684210525;2;;;;;;;;;;;;;;;;;;;;;;;;;;
мойка виз antika 50х50 стальная эмалированная, с кронштейном и метизами 87478;19;19;7;4;18590;0.3684210526315789;0.5714285714285714;0.21052631578947367;77;;;;;;;;;;;;;;;;;;;;;;;;;;
палубная доска;19;19;1;0;-;0.05263157894736842;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
фитинг-глушитель (пневмоглушитель);19;2;0;0;-;0;-;0;34;;;;;;;;;;;;;;;;;;;;;;;;;;
муфта valfex pp-r белая, 25 мм 10113025 127-0264;19;19;10;5;250;0.5263157894736842;0.5;0.2631578947368421;48;;;;;;;;;;;;;;;;;;;;;;;;;;
труба valtec;19;19;0;0;-;0;-;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
дхо;19;19;2;0;-;0.10526315789473684;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;
вилка плоская;19;18;12;5;805;0.5263157894736842;0.4166666666666667;0.2631578947368421;13;;;;;;;;;;;;;;;;;;;;;;;;;;
бур (18x940 мм;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;
корректирующая жидкость;19;19;13;3;392;0.5263157894736842;0.23076923076923078;0.15789473684210525;23;;;;;;;;;;;;;;;;;;;;;;;;;;
13656707;19;16;1;0;-;0.05263157894736842;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
стеклянный предохранитель nord-yada 5x20 agf503 2 ампер, 2 шт в упаковке 904378;19;17;4;1;16;0.21052631578947367;0.25;0.05263157894736842;79;;;;;;;;;;;;;;;;;;;;;;;;;;
18805350;19;18;4;0;-;0.15789473684210525;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
шланг пневматический армированный pvc на катушке (15+1 м;;;;;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;
лампа индикаторная;19;19;10;2;232;0.21052631578947367;0.1;0.05263157894736842;18;;;;;;;;;;;;;;;;;;;;;;;;;;
лента гидроизоляционная nicoband (10 м х 30 см;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;
бур по бетону 8;19;17;13;1;2300;0.47368421052631576;0.07692307692307693;0.05263157894736842;15;;;;;;;;;;;;;;;;;;;;;;;;;;
душевые лотки;19;19;10;3;49708;0.2631578947368421;0.3;0.15789473684210525;13;;;;;;;;;;;;;;;;;;;;;;;;;;
корд триммерный classic line на катушке (240 м;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;
напильник 200 мм плоский деревянная рукоятка вихрь 73/6/4/1;19;19;5;4;1331;0.2631578947368421;0.8;0.21052631578947367;59;;;;;;;;;;;;;;;;;;;;;;;;;;
zobr lkz bycnhevtynf;19;19;9;2;2759;0.42105263157894735;0.2222222222222222;0.10526315789473684;20;;;;;;;;;;;;;;;;;;;;;;;;;;
сумка для инструмента matrix 18 карманов, 320х215х250 мм 90259;19;16;6;4;25788;0.2631578947368421;0.6666666666666666;0.21052631578947367;62;;;;;;;;;;;;;;;;;;;;;;;;;;
15758436;19;16;2;2;9848;0.10526315789473684;1;0.10526315789473684;8;;;;;;;;;;;;;;;;;;;;;;;;;;
коронка алмазная (62х500 мм;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
веревка альпинистская;19;19;0;0;-;0;-;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
soft99;19;18;3;0;-;0.15789473684210525;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
универсальная дисковая пила витязь роторайзер упд-910 18019010;19;18;0;0;-;0;-;0;62;;;;;;;;;;;;;;;;;;;;;;;;;;
15875628;19;19;6;5;6140;0.3157894736842105;0.8333333333333334;0.2631578947368421;8;;;;;;;;;;;;;;;;;;;;;;;;;;
hypertherm;19;19;0;0;-;0;-;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
силовой кабель конкорд nym, 3х2,5, 100 метров 00001278;19;18;2;0;-;0.10526315789473684;0;0;54;;;;;;;;;;;;;;;;;;;;;;;;;;
зарядное устройство для батареек;19;15;7;3;18284;0.3157894736842105;0.42857142857142855;0.15789473684210525;32;;;;;;;;;;;;;;;;;;;;;;;;;;
f21-e1b;19;19;4;2;23800;0.21052631578947367;0.5;0.10526315789473684;7;;;;;;;;;;;;;;;;;;;;;;;;;;
фонарь ультрафиолетовый;19;19;4;0;-;0.15789473684210525;0;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;
акумуляторная пила;19;19;0;0;-;0;-;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;
насос для перекачки технических жидкостей, ручной груша, резина dollex rpu-008;19;17;5;3;1074;0.21052631578947367;0.4;0.10526315789473684;78;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ балонный телескопический;19;17;5;4;3612;0.21052631578947367;0.6;0.15789473684210525;29;;;;;;;;;;;;;;;;;;;;;;;;;;
хлопчатобумажные перчатки с двойным латексным обливом fort 10004278;19;18;1;1;4550;0.05263157894736842;1;0.05263157894736842;67;;;;;;;;;;;;;;;;;;;;;;;;;;
бф-4;19;17;0;0;-;0;-;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;
набор 12 гранных головок;19;17;5;2;6809;0.21052631578947367;0.4;0.10526315789473684;24;;;;;;;;;;;;;;;;;;;;;;;;;;
трикотажные перчатки россия, 10 класс 67786;19;18;5;2;1899;0.15789473684210525;0.2;0.05263157894736842;43;;;;;;;;;;;;;;;;;;;;;;;;;;
"переходник на еврокуб поливнадаче 2""(s60) х 3/4""(внутренняя резьба) s60x34";19;19;5;3;1580;0.2631578947368421;0.6;0.15789473684210525;74;;;;;;;;;;;;;;;;;;;;;;;;;;
25544853;19;19;10;3;3543;0.47368421052631576;0.3;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
регулятор расхода газа;19;19;2;1;1142;0.10526315789473684;0.5;0.05263157894736842;22;;;;;;;;;;;;;;;;;;;;;;;;;;
магнитный держатель для бит impact torsion (50 мм) dewalt dt70547t;19;19;2;1;734;0.10526315789473684;0.5;0.05263157894736842;66;;;;;;;;;;;;;;;;;;;;;;;;;;
алюминий;19;19;1;1;142;0.05263157894736842;1;0.05263157894736842;8;;;;;;;;;;;;;;;;;;;;;;;;;;
маска сварщика aurora хамелеон a777 carbon 6756;19;17;2;1;4200;0.10526315789473684;0.5;0.05263157894736842;47;;;;;;;;;;;;;;;;;;;;;;;;;;
резина сырая rossvik рс 500 гр 3 мм pc.05.30.1;19;19;3;0;-;0.15789473684210525;0;0;46;;;;;;;;;;;;;;;;;;;;;;;;;;
масло для 4-х тактных двигателей sae30 (0,946 л) carver 01.021.00003;19;19;5;2;1008;0.2631578947368421;0.4;0.10526315789473684;68;;;;;;;;;;;;;;;;;;;;;;;;;;
газовая колонка electrolux gwh 11 proinverter нс-1139049;19;17;0;0;-;0;-;0;56;;;;;;;;;;;;;;;;;;;;;;;;;;
водяная станция;19;18;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
набор электроинструментов;19;15;0;0;-;0;-;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;
17412882;19;19;5;4;1198;0.2631578947368421;0.8;0.21052631578947367;8;;;;;;;;;;;;;;;;;;;;;;;;;;
31608225;19;17;4;2;483;0.21052631578947367;0.5;0.10526315789473684;8;;;;;;;;;;;;;;;;;;;;;;;;;;
pz3;19;19;7;2;1407;0.21052631578947367;0.2857142857142857;0.10526315789473684;3;;;;;;;;;;;;;;;;;;;;;;;;;;
аппарат для сварки;19;19;0;0;-;0;-;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;
направляющая для пилы;19;19;0;0;-;0;-;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
разъемы rs-232;19;19;0;0;-;0;-;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
газлифт trodos mn 04 120n silver 311010;19;18;3;1;87;0.15789473684210525;0.3333333333333333;0.05263157894736842;39;;;;;;;;;;;;;;;;;;;;;;;;;;
грибки;19;19;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
анкер с кольцом starfix м10x12x130 мм smp-46317-1;19;19;6;3;10998;0.3157894736842105;0.5;0.15789473684210525;49;;;;;;;;;;;;;;;;;;;;;;;;;;
шайбы м16 din 125;19;19;10;3;2312;0.2631578947368421;0.2;0.10526315789473684;17;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновый опрыскиватель-распылитель expert-bis sp20l 263582;19;19;0;0;-;0;-;0;60;;;;;;;;;;;;;;;;;;;;;;;;;;
корд;19;19;0;0;-;0;-;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;
ножи для рубанка 82;19;3;0;0;-;0;-;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
струбцина kraftool;19;19;3;3;20742;0.10526315789473684;0.6666666666666666;0.10526315789473684;18;;;;;;;;;;;;;;;;;;;;;;;;;;
пенка;19;19;1;0;-;0.05263157894736842;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
полироль (паста гои, 25 г) онлайт 90111;19;19;2;0;-;0.10526315789473684;0;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор масляный техпром кмр-335/100, 100 л, 2.2 квт;19;1;0;0;-;0;-;0;55;;;;;;;;;;;;;;;;;;;;;;;;;;
мотоблоки мобил к кмк;19;1;0;0;-;0;-;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
gsr 120;19;19;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
уголок 40х40;19;18;3;2;1204;0.15789473684210525;0.6666666666666666;0.10526315789473684;12;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновый культиватор с реверсом daewoo dat 5055r;19;19;1;0;-;0.05263157894736842;0;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло (8 мм;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
электрокамин;19;19;2;0;-;0.05263157894736842;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
ручной станок для гибки арматуры afacan 12pt;19;18;4;3;17108;0.21052631578947367;0.75;0.15789473684210525;44;;;;;;;;;;;;;;;;;;;;;;;;;;
"stop и доктор дью"", 115x2500 мм, p500 dd-afr115-2500-500";19;18;5;3;364;0.2631578947368421;0.6;0.15789473684210525;56;;;;;;;;;;;;;;;;;;;;;;;;;;
электрический щиток;19;19;4;0;-;0.21052631578947367;0;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
шуруп сантехнический;19;19;1;0;-;0.05263157894736842;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
фонарь фаzа accufh3-l3w/l3w-flex 5044937;19;19;10;4;6158;0.5263157894736842;0.4;0.21052631578947367;40;;;;;;;;;;;;;;;;;;;;;;;;;;
баллон газовый для углекислоты 10 л, новый, пустой тгс хд20022067;19;18;8;0;-;0.2631578947368421;0;0;65;;;;;;;;;;;;;;;;;;;;;;;;;;
трос для прочистки труб сибртех 92462;19;19;0;0;-;0;-;0;37;;;;;;;;;;;;;;;;;;;;;;;;;;
